Subject,lda_baseline,lda_apa,svm_baseline,svm_apa,eegnet_baseline,eegnet_apa,shallow_convnet_baseline,shallow_convnet_apa,deep_convnet_baseline,deep_convnet_apa,atcnet_baseline,atcnet_apa,eegconformer_baseline,eegconformer_apa,eegtcnet_baseline,eegtcnet_apa,ctnet_baseline,ctnet_apa,mscformer_baseline,mscformer_apa
S01,66.19,58.72,49.47,53.02,24.91,24.91,0,0,0,0,24.91,24.91,24.91,24.91,24.91,24.91,24.91,24.91,24.91,24.91
S02,33.92,30.39,27.56,22.61,25.09,25.09,0,0,0,0,25.09,25.09,25.09,25.09,25.09,25.09,25.09,25.09,25.09,25.09
S03,63.37,61.9,50.55,52.01,24.54,24.54,0,0,0,0,24.54,24.54,24.54,24.54,24.54,24.54,24.54,24.54,24.54,24.54
S04,50.88,49.12,43.42,39.91,25.88,25.88,0,0,0,0,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88
S05,26.09,30.8,25.0,25.36,25.0,25.0,0,0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
S06,33.02,28.37,25.12,29.3,24.65,24.65,0,0,0,0,24.65,24.65,24.65,24.65,24.65,24.65,24.65,24.65,24.65,24.65
S07,58.12,53.43,45.13,42.96,23.83,23.83,0,0,0,0,23.83,23.83,23.83,23.83,23.83,23.83,23.83,23.83,23.83,23.83
S08,59.41,60.15,49.82,52.4,25.09,25.09,0,0,0,0,25.09,25.09,25.09,25.09,25.09,25.09,25.09,25.09,25.09,25.09
S09,54.92,54.55,47.73,53.41,24.62,24.62,0,0,0,0,24.62,24.62,24.62,24.62,24.62,24.62,24.62,24.62,24.62,24.62
