Model,Class,Precision,Recall,F1
LDA,Left Hand,0.531,0.550,0.528
LDA,Right Hand,0.503,0.523,0.500
LDA,Feet,0.577,0.438,0.445
LDA,Tongue,0.525,0.468,0.471
SVM,Left Hand,0.441,0.412,0.411
SVM,Right Hand,0.396,0.425,0.396
SVM,Feet,0.410,0.388,0.366
SVM,Tongue,0.456,0.390,0.397
EEGNET,Left Hand,0.027,0.111,0.044
EEGNET,Right Hand,0.083,0.333,0.133
EEGNET,Feet,0.029,0.111,0.046
EEGNET,Tongue,0.110,0.444,0.176
ATCNET,Left Hand,0.027,0.111,0.044
ATCNET,Right Hand,0.083,0.333,0.133
ATCNET,Feet,0.029,0.111,0.046
ATCNET,Tongue,0.110,0.444,0.176
EEGCONFORMER,Left Hand,0.027,0.111,0.044
EEGCONFORMER,Right Hand,0.083,0.333,0.133
EEGCONFORMER,Feet,0.029,0.111,0.046
EEGCONFORMER,Tongue,0.110,0.444,0.176
EEGTCNET,Left Hand,0.027,0.111,0.044
EEGTCNET,Right Hand,0.083,0.333,0.133
EEGTCNET,Feet,0.029,0.111,0.046
EEGTCNET,Tongue,0.110,0.444,0.176
CTNET,Left Hand,0.027,0.111,0.044
CTNET,Right Hand,0.083,0.333,0.133
CTNET,Feet,0.029,0.111,0.046
CTNET,Tongue,0.110,0.444,0.176
MSCFORMER,Left Hand,0.027,0.111,0.044
MSCFORMER,Right Hand,0.083,0.333,0.133
MSCFORMER,Feet,0.029,0.111,0.046
MSCFORMER,Tongue,0.110,0.444,0.176
